en,ru
title,заглавие
rating,рейтинг
calories,калории
protein,белок
fat,толстый
sodium,натрий
#cakeweek,#выпечка
#wasteless,#безотходный
22-minute meals,22-минутные приемы пищи
3-ingredient recipes,рецепты из 3-х ингредиентов
30 days of groceries,30 дней продуктов
advance prep required,требуется предварительная подготовка
alabama,Алабама
alaska,Аляска
alcoholic,алкоголик
almond,миндаль
amaretto,амаретто
anchovy,анчоус
anise,анис
anniversary,Годовщина
anthony bourdain,Энтони Бурден
aperitif,аперитив
appetizer,закуска
apple,яблоко
apple juice,яблочный сок
apricot,абрикос
arizona,Аризона
artichoke,Артишок
arugula,руккола
asian pear,азиатская груша
asparagus,спаржа
aspen,осина
atlanta,атланта
australia,Австралия
avocado,авокадо
back to school,обратно в школу
backyard bbq,барбекю на заднем дворе
bacon,бекон
bake,выпекать
banana,банан
barley,ячмень
basil,Бэзил
bass,бас
bastille day,День взятия Бастилии
bean,фасоль
beef,говядина
beef rib,говяжье ребро
beef shank,говяжья рулька
beef tenderloin,говяжья вырезка
beer,пиво
beet,свекла
bell pepper,болгарский перец
berry,ягода
beverly hills,Беверли Хиллс
birthday,день рождения
biscuit,печенье
bitters,горькие
blackberry,ежевика
blender,блендер
blue cheese,голубой сыр
blueberry,черника
boil,кипятить
bok choy,бок Чой
bon appétit,приятного аппетита
bon app��tit,приятного аппетита
boston,бостон
bourbon,бурбон
braise,тушить
bran,отруби
brandy,бренди
bread,хлеб
breadcrumbs,панировочные сухари
breakfast,завтрак
brie,бри
brine,рассол
brisket,грудинка
broccoli,брокколи
broccoli rabe,брокколи рабе
broil,жарить
brooklyn,Бруклин
brown rice,коричневый рис
brownie,брауни
brunch,поздний завтрак
brussel sprout,брюссельская капуста
buffalo,буйвол
buffet,"шведский стол, буфет"
bulgaria,Болгария
bulgur,булгур
burrito,буррито
butter,сливочное масло
buttermilk,пахта
butternut squash,мускатная тыква
butterscotch/caramel,ириски/карамель
cabbage,капуста
cake,кекс
california,Калифорния
calvados,кальвадос
cambridge,Кембридж
campari,кампари
camping,поход
canada,Канада
candy,конфеты
candy thermometer,конфеты термометр
cantaloupe,мускусная дыня
capers,каперсы
caraway,тмин
cardamom,кардамон
carrot,морковь
cashew,кешью
casserole/gratin,запеканка/гратен
cauliflower,цветная капуста
caviar,икра
celery,сельдерей
chambord,шамбор
champagne,шампанское
chard,мангольд
chartreuse,шартрез
cheddar,чеддер
cheese,сыр
cherry,вишня
chestnut,каштан
chicago,Чикаго
chicken,курица
chickpea,нут
chile,Чили
chile pepper,перец чили
chili,перец чили
chill,холод
chive,зеленый лук
chocolate,шоколад
christmas,рождество
christmas eve,Рождественский сочельник
cilantro,кинза
cinco de mayo,Синко де Майо
cinnamon,корица
citrus,цитрусовые
clam,моллюск
clove,гвоздика
cobbler/crumble,сапожник / крошка
cocktail,коктейль
cocktail party,коктейльная вечеринка
coconut,кокос
cod,треска
coffee,кофе
coffee grinder,Кофемолка
cognac/armagnac,коньяк/арманьяк
collard greens,зелень
colorado,Колорадо
columbus,Колумб
condiment,приправа
condiment/spread,приправа/спред
connecticut,Коннектикут
cook like a diner,готовить как в закусочной
cookbook critic,кулинарный критик
cookie,печенье
cookies,печенье
coriander,кориандр
corn,кукуруза
cornmeal,кукурузная мука
costa mesa,Коста Меса
cottage cheese,творог
couscous,кускус
crab,краб
cranberry,клюква
cranberry sauce,клюквенный соус
cream cheese,сливочный сыр
créme de cacao,крем де какао
crêpe,креп
cr��me de cacao,крем де какао
