en,ru,ing
title,заглавие,yes
rating,рейтинг,yes
calories,калории,no
protein,белок,no
fat,толстый,no
sodium,натрий,no
#cakeweek,#выпечка,no
#wasteless,#безотходный,no
22-minute meals,22-минутные приемы пищи,no
3-ingredient recipes,рецепты из 3-х ингредиентов,no
30 days of groceries,30 дней продуктов,no
advance prep required,требуется предварительная подготовка,no
alabama,Алабама,no
alaska,Аляска,no
alcoholic,алкоголик,yes
almond,миндаль,yes
amaretto,амаретто,yes
anchovy,анчоус,yes
anise,анис,yes
anniversary,Годовщина,no
anthony bourdain,Энтони Бурден,no
aperitif,аперитив,no
appetizer,закуска,no
apple,яблоко,yes
apple juice,яблочный сок,yes
apricot,абрикос,yes
arizona,Аризона,no
artichoke,Артишок,yes
arugula,руккола,yes
asian pear,азиатская груша,yes
asparagus,спаржа,yes
aspen,осина,no
atlanta,атланта,no
australia,Австралия,no
avocado,авокадо,yes
back to school,обратно в школу,no
backyard bbq,барбекю на заднем дворе,no
bacon,бекон,yes
bake,выпекать,no
banana,банан,yes
barley,ячмень,yes
basil,Бэзил,no
bass,бас,no
bastille day,День взятия Бастилии,no
bean,фасоль,yes
beef,говядина,yes
beef rib,говяжье ребро,yes
beef shank,говяжья рулька,yes
beef tenderloin,говяжья вырезка,yes
beer,пиво,yes
beet,свекла,yes
bell pepper,болгарский перец,yes
berry,ягода,yes
beverly hills,Беверли Хиллс,no
birthday,день рождения,no
biscuit,печенье,yes
bitters,горькие,no
blackberry,ежевика,yes
blender,блендер,no
blue cheese,голубой сыр,yes
blueberry,черника,yes
boil,кипятить,no
bok choy,бок Чой,no
bon appétit,приятного аппетита,no
bon app��tit,приятного аппетита,no
boston,бостон,no
bourbon,бурбон,yes
braise,тушить,no
bran,отруби,yes
brandy,бренди,yes
bread,хлеб,yes
breadcrumbs,панировочные сухари,yes
breakfast,завтрак,no
brie,бри,no
brine,рассол,yes
brisket,грудинка,yes
broccoli,брокколи,yes
broccoli rabe,брокколи рабе,yes
broil,жарить,no
brooklyn,Бруклин,no
brown rice,коричневый рис,yes
brownie,брауни,yes
brunch,поздний завтрак,no
brussel sprout,брюссельская капуста,yes
buffalo,буйвол,yes
